,BR:MCF7,BR:MDA-MB-231,BR:HS 578T,BR:BT-549,BR:T-47D,CNS:SF-268,CNS:SF-295,CNS:SF-539,CNS:SNB-19,CNS:SNB-75,CNS:U251,CO:COLO 205,CO:HCC-2998,CO:HCT-116,CO:HCT-15,CO:HT29,CO:KM12,CO:SW-620,LE:CCRF-CEM,LE:HL-60(TB),LE:K-562,LE:MOLT-4,LE:RPMI-8226,LE:SR,ME:LOX IMVI,ME:MALME-3M,ME:M14,ME:SK-MEL-2,ME:SK-MEL-28,ME:SK-MEL-5,ME:UACC-257,ME:UACC-62,ME:MDA-MB-435,ME:MDA-N,LC:A549/ATCC,LC:EKVX,LC:HOP-62,LC:HOP-92,LC:NCI-H226,LC:NCI-H23,LC:NCI-H322M,LC:NCI-H460,LC:NCI-H522,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES,PR:PC-3,PR:DU-145,RE:786-0,RE:A498,RE:ACHN,RE:CAKI-1,RE:RXF 393,RE:SN12C,RE:TK-10,RE:UO-31
expCDKN1A,-0.386,0.154,0.068,-0.621,-0.11,-0.74,-0.345,0.58,0.332,0.146,-0.372,-0.81,-0.066,1.304,-1.02,-0.662,-0.088,-1.406,-1.555,-1.394,-0.98,-1.282,0.287,1.276,2.198,1.497,-0.18,-0.435,-1.021,-0.186,1.106,1.542,-0.929,-0.558,-0.354,0.166,-0.117,0.53,2.631,0.389,0.214,-0.074,0.301,0.72,-0.895,0.676,-0.96,-0.547,-1.307,-0.372,-0.13,-0.222,-0.501,1.095,1.27,1.281,-0.631,-0.74,0.884,1.672
expCDKN2A,-0.715,-0.81,-0.392,2.111,0.092,-1.09,-0.874,1.292,-1.031,1.359,-0.738,0.31,0.943,0.385,-1.045,1.109,0.933,1.078,-0.823,0.295,-0.631,-0.801,0.901,-0.921,-0.877,-1.075,0.708,-0.03,0.609,-0.205,0.459,-0.94,1.016,0.808,-0.784,0.3,-0.325,-0.002,-0.524,0.252,-0.843,-0.814,1.048,-0.436,1.311,0.913,-1.022,1.01,-1.074,1.515,0.647,1.299,-0.995,-0.939,-0.596,-0.83,-0.833,1.073,0.812,-0.546
expCHEK2,0.892,-0.948,-0.407,0.627,0.653,-0.275,-0.603,-1.332,-1.3,-0.327,-0.921,0.452,0.971,1.495,1.684,1.467,0.67,-0.794,0.609,1.031,0.837,0.561,0.869,-0.196,-0.765,0.29,-0.156,-0.988,1.365,0.029,0.503,0.122,1.285,0.75,-0.821,-0.845,-1.078,-0.691,-1.704,1.042,0.454,0.045,0.306,-0.986,1.408,0.938,-0.892,-0.777,-0.155,-0.948,0.474,0.078,-0.587,-1.11,-0.563,-0.509,-0.182,-0.107,-0.905,-1.135
expCTNNB1,-0.15,0.009,-0.544,-0.286,-0.008,0.533,-0.658,0.109,0.813,0.04,-0.44,0.174,0.459,0.125,0.443,-0.552,0.089,0.705,-1.252,-0.938,-1.161,-1.222,-1.658,0.271,0.137,2.53,1.228,1.072,0.928,2.558,2.513,0.522,0.312,-0.016,-0.963,-0.269,0.116,-0.711,0.089,-0.724,-0.135,-0.754,-0.681,-0.398,0.517,-0.202,-0.036,0.357,-0.788,0.277,-0.298,-0.763,0.672,-1.569,-0.399,-0.884,-0.675,0.365,0.578,0.655
expCTNNB11,-0.15,0.009,-0.544,-0.286,-0.008,0.533,-0.658,0.109,0.813,0.04,-0.44,0.174,0.459,0.125,0.443,-0.552,0.089,0.705,-1.252,-0.938,-1.161,-1.222,-1.658,0.271,0.137,2.53,1.228,1.072,0.928,2.558,2.513,0.522,0.312,-0.016,-0.963,-0.269,0.116,-0.711,0.089,-0.724,-0.135,-0.754,-0.681,-0.398,0.517,-0.202,-0.036,0.357,-0.788,0.277,-0.298,-0.763,0.672,-1.569,-0.399,-0.884,-0.675,0.365,0.578,0.655
expDKK1,0.991,1.677,0.079,0.881,-0.737,1.62,1.328,-0.939,2.123,-0.173,0.873,-0.542,-0.877,0.914,-0.035,0.128,-0.986,-0.801,-0.928,-0.939,-0.849,-0.278,-0.917,-0.984,-0.022,-0.874,-0.93,0.057,-0.269,-0.713,-0.838,-0.787,-0.345,-0.715,1.575,1.465,1.362,0.296,1.362,-0.04,0.344,-0.931,-0.031,-0.792,-0.863,-0.944,1.442,0.83,0.485,-0.039,2.291,0.734,-0.941,-0.986,-1.001,-0.012,-0.858,0.592,-0.98,-0.247
expDKK2,-0.079,-0.397,0.052,-0.014,-0.082,-0.059,2.303,-0.393,-0.282,-0.471,-0.329,-0.148,-0.634,-0.108,-0.527,-0.52,-0.151,-0.208,-0.538,0.361,-0.391,-0.208,-0.086,-0.295,0.377,2.102,-0.309,0.203,0.575,2.252,4.535,-0.103,-0.079,-0.63,-0.328,-0.647,-0.31,-0.564,-0.672,-0.662,-0.376,-0.547,-0.34,0.13,1.27,-0.485,-0.313,-0.18,-0.163,0.051,0.112,-0.346,-0.297,-0.029,-0.052,-0.201,-0.273,-0.293,-0.489,-0.078
expDKK3,-0.837,-0.54,0.537,-0.179,-0.98,2.147,1.659,1.549,0.687,1.535,0.436,-0.782,-0.854,-0.893,-0.992,-0.983,-0.844,-0.839,-0.861,-0.751,-0.685,-0.755,-0.734,-1.003,-0.751,-0.643,-0.253,-0.869,-0.854,-0.332,-0.872,-0.702,-0.864,-0.817,-0.219,-0.083,0.41,0.832,0.912,-0.288,-0.774,-0.646,-0.608,-0.179,0.271,-0.054,0.546,1.315,0.734,1.452,-0.915,-0.13,1.072,0.758,1.302,1.364,1.154,1.909,1.134,1.432
expDKK4,0.328,-0.486,-0.291,0.053,1.069,0.476,-0.493,NA,-0.55,-0.977,-0.449,1.152,4.299,1.611,0.116,-0.166,0.634,-1.019,0.502,0.975,0.173,0.224,0,0.062,1.052,-1.05,0.248,0.155,0.624,1.015,0.243,-0.606,0.787,0.349,-0.626,0.238,-1.093,0.043,0.094,0.509,-0.267,-0.648,-0.331,-0.79,-0.315,-0.437,-0.919,-0.895,-0.752,-0.256,0.476,-0.493,-0.457,0.104,-1.769,0.687,-0.693,-0.406,-0.505,-0.56
expE2F3,-0.448,0.716,-0.244,0.753,-1.057,0.037,-0.635,0.425,-0.7,-0.847,-0.994,-0.952,0.365,0.422,0.153,-0.126,-2.375,-0.271,0.455,0.79,0.876,0.756,0.899,0.406,1.217,1.364,0.441,1.396,0.251,2.193,0.166,-0.34,0.771,0.799,-1.352,-0.511,0.367,-1.463,-0.445,0.575,-0.894,-0.511,2.32,-1.534,0.661,1.287,-0.688,0.76,0.033,0.722,-0.442,-0.89,-0.166,-0.611,-0.989,-0.345,-0.835,-0.501,0.029,-0.811
expFBXW7,0.303,-0.159,-0.76,-0.6,-0.295,0.028,-0.367,-0.452,-0.109,-0.197,-0.602,-0.083,0.765,0.807,0.999,0.884,0.082,0.019,2.91,1.086,-0.097,1.914,-0.588,1.236,0.958,0.076,-1.082,1.082,-0.702,-0.909,-0.68,-0.581,-0.494,-0.847,-1.303,-0.618,0.104,-0.608,0.766,0.697,-0.147,-0.414,-0.235,0.87,0.511,-0.168,0.231,-1.159,0.619,-1.323,0.64,-1.897,-0.372,-0.721,-0.129,0.593,-0.966,0.009,0.65,0.42
expFZD10,0.036,-0.053,-0.013,-0.321,-0.036,-0.373,-0.018,-0.3,-0.624,-0.412,-0.129,3.975,-0.028,-0.154,-0.166,-0.347,-0.209,4.486,-0.368,-0.121,0.048,-0.35,-0.023,-0.783,-0.502,-0.554,-0.168,-0.858,-0.135,-0.481,-0.141,-0.171,-0.318,-0.298,-0.055,0.49,-0.246,-0.219,-0.393,0.46,1.335,1.666,-0.208,0.068,-0.196,-0.26,-0.2,-0.19,-0.341,0.139,-0.433,-0.237,-0.156,-0.094,-0.323,0.105,-0.019,-0.229,-0.236,-0.469
expGSK3B,-0.377,-1.141,1.02,0.247,0.649,0.103,0.44,0.755,-0.403,-0.027,-1.167,0.556,0.453,-0.016,0.244,0.135,0.194,-0.975,-0.455,-1.001,-2.338,0.57,-0.938,-0.336,0.493,1.33,1.086,1.174,1.084,0.674,0.797,1.616,1.346,0.876,-0.823,-0.665,-0.202,-0.678,-0.64,0.441,0.239,-0.525,-0.801,-0.703,1.168,0.603,-1.065,0.772,0.216,0.488,1.426,-0.967,-0.157,-0.933,-1.247,0.016,-2.265,0.175,-0.048,0.163
expLRP5,0.535,0.473,0.564,-0.779,0.544,-0.38,-1.256,-1.073,-0.666,-1.207,-0.592,1.753,0.96,0.224,0.875,1.894,0.496,2.594,-1.281,0.327,-0.256,-0.021,0.479,-0.782,-2.194,-0.687,-1.201,-1.194,0.2,-0.601,-0.366,0.093,-0.916,-1.137,0.359,1.947,-0.076,-0.403,-0.356,0.594,1.359,0.217,-0.132,0.201,-0.337,0.116,2.727,-0.659,-0.429,-0.727,0.452,0.201,0.031,-0.142,-0.69,0.28,-0.68,-0.731,0.248,0.259
expLRP6,-0.982,-0.414,-0.36,-0.308,-1.208,0.82,0.289,-0.051,-0.455,0.712,0.251,0.691,0.038,0.02,1.374,-0.055,0.972,1.92,-2.549,-0.518,-0.741,-0.163,-0.55,-3.944,0.377,0.829,-0.04,0.765,-0.276,-0.055,0.147,0.965,-0.727,-0.804,0.99,0.127,0.953,-1.031,-0.329,0.757,1.224,-0.648,-0.319,1.505,1.104,0.534,0.178,-0.087,-0.262,-0.281,-0.622,0.152,0.066,-0.835,0.598,1.041,0.037,-0.945,0.004,0.033
expMDM2,0.914,-0.774,-0.93,-0.486,0.759,-0.492,-0.641,-0.634,-0.126,-0.739,-0.428,-0.083,-0.741,0.575,0.259,-0.204,-0.467,-0.804,-0.201,-0.671,-0.248,0.288,0.319,0.902,1.364,1.544,-0.214,-0.492,-0.185,-0.279,2.515,1.469,-0.853,-0.965,-0.436,-0.763,-0.353,-0.343,2.716,0.894,0.487,0.023,-0.447,0.58,-0.336,0.697,-1.106,-0.568,-0.746,-0.887,-0.362,-0.378,-0.965,0.551,1.037,0.607,-1.522,-0.204,-0.136,2.183
