,BR:MCF7,BR:MDA-MB-231,BR:HS 578T,BR:BT-549,BR:T-47D,CNS:SF-268,CNS:SF-295,CNS:SF-539,CNS:SNB-19,CNS:SNB-75,CNS:U251,CO:COLO 205,CO:HCC-2998,CO:HCT-116,CO:HCT-15,CO:HT29,CO:KM12,CO:SW-620,LE:CCRF-CEM,LE:HL-60(TB),LE:K-562,LE:MOLT-4,LE:RPMI-8226,LE:SR,ME:LOX IMVI,ME:MALME-3M,ME:M14,ME:SK-MEL-2,ME:SK-MEL-28,ME:SK-MEL-5,ME:UACC-257,ME:UACC-62,ME:MDA-MB-435,ME:MDA-N,LC:A549/ATCC,LC:EKVX,LC:HOP-62,LC:HOP-92,LC:NCI-H226,LC:NCI-H23,LC:NCI-H322M,LC:NCI-H460,LC:NCI-H522,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES,PR:PC-3,PR:DU-145,RE:786-0,RE:A498,RE:ACHN,RE:CAKI-1,RE:RXF 393,RE:SN12C,RE:TK-10,RE:UO-31
expSFRP5,-0.36,-0.116,-0.212,-0.11,-0.25,-0.506,-0.123,-0.429,-0.123,-0.268,-0.252,-0.381,-0.328,-0.449,-0.491,-0.286,-0.023,3.065,-0.057,0.042,0.118,-0.082,0.39,-0.431,-0.458,5.835,-0.469,-0.405,-0.081,-0.605,-0.72,-0.206,-0.306,-0.727,0.043,-0.066,0.159,-0.12,0.01,0.379,-0.032,-0.121,0.226,0.089,0.135,-0.238,0.334,-0.091,-0.296,0.056,0.108,-0.144,-0.245,-0.034,-0.087,-0.114,0.05,-0.387,-0.143,-0.074
expSMAD2,-0.188,-0.306,0.672,0.179,-0.479,0.198,-0.075,-0.312,-1.644,-0.215,-1.884,-0.738,0.183,0.659,0.954,-0.179,-1.186,-1.101,1.299,1.55,-1.192,0.275,0.229,-0.335,0.667,0.743,-0.145,0.63,0.015,-0.632,0.625,-0.849,-0.04,-0.331,1.207,2.897,-0.501,0.779,-0.441,0.52,-0.357,1.174,0.254,0.058,-0.103,0.508,-1.543,-0.996,1.248,-1.58,-1.161,0.522,-0.038,-0.998,-0.201,-0.152,0.005,0.667,0.491,0.499
expSMAD4,-0.45,0.093,0.575,0.438,-0.307,0.934,0.434,0.332,-1.175,0.18,-0.865,-3.203,0.254,0.695,1.068,-1.682,-0.442,-3.391,0.759,0.777,-0.483,-0.077,0.848,0.689,1.131,0.951,-0.239,0.808,-0.447,0.209,0.352,-0.733,0.025,-0.1,-0.293,0.455,-0.696,0.393,0.074,0.212,-0.8,0.106,0.105,-0.361,-0.226,-1.615,-0.693,0.857,0.839,0.581,-0.208,0.144,0.443,-0.23,0.755,0.479,0.414,0.297,1.004,0.256
expSOX9,-1.012,0.952,-0.355,0.01,-0.226,-0.217,1.072,0.046,1.585,-0.424,1.523,1.658,0.88,0.957,1.463,1.141,1.83,1.369,-1.288,-0.909,-0.934,-0.866,-1.005,-1.014,0.772,-1.316,-1.158,-1.382,-1.283,-0.825,-0.556,-1.089,1.301,1.388,-0.1,0.764,1.036,1.237,0.436,-1.073,-0.145,0.082,-1.07,-0.29,0.313,-0.643,1.011,-0.645,-1.1,0.065,0.958,-0.512,-0.467,-0.3,-1.017,0.101,-0.257,-0.044,-0.006,-0.35
expTCF7,-0.573,-0.486,0.09,-0.03,-0.633,-0.222,0.85,0.269,-0.368,0.041,-0.156,2.714,0.336,0.249,0.283,0.795,0.615,0.284,3.631,-0.503,-0.006,3.889,-0.619,-0.85,-0.542,0.046,-0.044,-0.262,-0.502,-0.197,-0.816,-0.528,-0.788,-0.628,-0.191,-0.174,0.197,-0.416,-0.268,-0.045,-0.643,-0.561,-0.377,-0.506,-0.262,-0.409,0.243,-0.382,-0.303,-0.383,-0.039,-0.314,0.581,0.29,-0.58,-0.288,-0.04,-0.341,0.451,-0.403
expTCF7L1,0.261,-0.734,1.521,-0.077,2.872,0.598,-0.863,-0.078,0.504,-0.275,0.171,-0.842,-0.845,0.617,0.144,-0.874,-0.722,-0.665,-0.687,-0.632,-0.705,-0.768,-1.062,-1.238,-0.523,0.091,1.067,-0.3,0.436,0.689,0.289,-0.051,-0.803,-1.345,0.279,1.189,-0.233,-0.896,0.6,-0.028,0.247,-0.732,2.36,1.506,1.145,1.233,0.114,0.259,1.081,0.45,-1.179,-0.153,-0.999,0.403,-0.512,0.489,-0.573,0.359,-0.753,-0.95
expTCF7L2,-0.755,-0.244,-0.887,-0.429,-0.314,-0.397,-0.73,0.169,0.9,-0.208,0.345,0.49,0.989,3.269,0.482,1.696,1.126,1.251,-0.524,-1.04,-1.794,-0.513,-1.396,-2.236,-0.066,-0.101,0.229,-0.079,-0.41,-0.056,-0.829,-0.724,0.669,0.611,0.362,0.244,-1.101,-0.085,0.235,-0.337,1.246,-0.015,0.184,-0.021,0.113,-0.049,2.211,-0.005,0.48,-0.533,0.146,0.246,-0.704,-0.097,0.011,0.049,-0.033,-0.737,0.111,-0.275
expTLE1,-0.161,0.876,-1.184,-0.07,-0.006,0.364,-1.417,-0.53,-0.284,0.611,-0.009,-1.051,-1.114,-0.853,-0.195,-0.026,0.43,-2.233,0.511,-1.117,-2.025,-1.408,-1.451,-1.883,-0.001,-0.058,0.926,1.004,0.246,0.258,-0.053,-0.056,1.199,0.714,0.481,0.504,-0.129,0.104,-0.308,-0.124,0.092,-1.79,-0.618,0.798,0.916,1.114,0.13,0.762,1.751,-0.068,0.076,0.087,0.791,0.798,0.114,0.828,0.222,1.104,1.403,0.677
expTLE2,2.385,-0.529,-0.167,0.084,1.588,-0.169,-0.411,0.404,-0.522,0.148,-0.382,-0.343,-0.57,1.614,0.947,-0.826,0.023,-0.686,-0.649,-0.353,0.908,-0.542,-0.127,-0.548,-0.502,-0.652,-0.999,-0.835,-0.388,0.009,-0.802,-0.267,-0.881,-0.464,-0.254,3.281,-0.241,-0.653,-0.451,2.192,0.938,-0.278,1.087,0.259,0.173,-0.148,-0.518,0.316,0.294,0.726,-0.657,1.167,-0.564,-0.178,-0.357,-0.332,-0.636,0.054,0.682,-0.92
expTLE3,1.923,1.083,0.253,-1.86,0.766,-0.188,-0.534,-0.311,-0.242,-0.527,0.708,0.574,-0.452,-0.101,-0.493,-0.457,0.139,1.672,0.951,-0.047,0.266,0.966,1.448,3.123,-0.276,0.67,0.4,0.282,0.075,-0.675,0.129,-0.389,-0.788,-0.625,-0.23,0.082,0.361,0.461,-0.308,-0.08,0.479,0.693,-0.076,0.413,-0.46,-0.484,0.499,-1.572,-0.607,-1.635,0.181,-0.203,-0.651,0.318,-0.893,-0.636,0.38,-2.041,-0.431,-1.296
expTLE4,-1.14,-1.095,0.851,2.628,-1.247,1.437,0.781,0.985,-0.022,1.109,-0.01,-0.533,-0.982,-1.222,-0.325,-0.347,-0.576,-1.25,1.146,1.156,-0.426,0.768,-0.223,-1.136,1.803,-1.174,0.015,-0.523,-1.085,-0.385,-1.275,0.268,0.099,-0.233,-0.094,0.592,0.188,-1.049,1.18,-1.146,0.128,-0.641,-1.044,-1.125,-0.427,-1.096,-0.123,0.291,-0.055,1.014,0.031,-0.341,1.146,1.082,0.964,1.146,0.661,0.121,0.681,0.814
expTP53,1.153,0.855,0.831,1.72,0.594,1.247,0.514,-0.966,0.698,0.292,0.418,-0.05,-1.174,0.537,0.581,0.308,0.489,0.981,1.181,-2.372,-1.886,0.311,-0.239,0.327,-0.126,0.207,0.652,-0.668,-0.325,-0.194,-0.737,-0.702,1.08,0.869,0.815,-1.867,-1.755,-0.629,0.919,0.296,0.841,0.259,-1.956,0.406,0.074,0.297,-1.648,0.576,-1.91,0.182,-1.987,0.78,-0.48,0.103,0.491,0.081,-0.109,-0.69,-0.8,0.746
expWIF1,-0.002,0.167,-0.315,0.269,0.845,0.141,-0.441,-0.996,-0.769,0.395,0.703,-0.18,0.026,0.625,-1.868,-0.264,-0.248,-0.257,-1.137,-0.952,-0.093,-0.707,0.177,-0.931,-0.89,-0.194,-0.769,-0.819,0.154,-0.895,-1.237,0.734,-0.208,-0.518,-0.173,-0.759,-0.852,0.427,-0.331,0.023,0.722,-0.897,1.537,0.568,0.303,-0.231,0.281,0.931,-0.541,2.018,1.53,1.093,0.471,0.508,1.203,0.73,-0.32,0.838,0.628,0.414
expZNRF3,0.098,-0.235,0.015,-0.541,-0.504,-0.202,0.202,-0.033,-0.15,0.065,-0.163,2.638,2.038,-0.02,2.854,2.035,0.219,2.413,-2.08,-0.249,-0.632,-1.436,0.056,-1.168,-0.393,-0.086,-0.637,-0.532,0.219,-0.151,-0.305,0.177,-0.587,-0.625,0.784,0.676,0.048,-0.497,-1.12,-0.055,-0.123,-0.669,-0.042,0.132,1.261,0.177,-0.116,-0.585,0.528,-0.521,-0.214,-0.439,0.549,-0.571,0.098,-0.366,-0.387,-0.848,0.21,-0.257
